VEGFA,FLT1
VEGFA,VEGFB
VEGFB,FLT1
ITGAV,ITGB3
SHC1,ANGPT1
GRB2,ANGPT1
GRB2,CRK
GRB2,SHC1
GRB2,CRKL
GRB2,FLT4
CRK,CRKL
SHC1,CRK
PDGFB,PDGFRB
SHC1,CRKL
SHC1,FLT4
SYK,CD36
VEGFA,KDR
VEGFB,KDR
GRB2,KDR
CRK,FLT4
GRB2,VEGFA
CRKL,FLT4
GRB2,NCK1
GRB2,VEGFB
KDR,NCK1
SHC1,VEGFB
SHC1,KDR
SHC1,NCK1
VEGFA,NCK1
VEGFA,SHC1
ITGB1,ITGA5
CRKL,KDR
KDR,FLT4
CRK,KDR
VEGFB,NCK1
VEGFA,CRK
VEGFA,CRKL
VEGFA,FLT4
CD40LG,CD40
CRKL,VEGFB
VEGFB,FLT4
CRK,VEGFB
TUBGCP2,TUBGCP3
LCK,CD4
TUBGCP2,TUBGCP4
TUBGCP2,TUBGCP5
TUBGCP2,TUBGCP6
TUBGCP3,TUBGCP4
TUBGCP3,TUBGCP5
TUBGCP5,TUBGCP4
TUBGCP6,TUBGCP3
TUBGCP6,TUBGCP4
TUBGCP6,TUBGCP5
ACTR2,ACTR3
ACTR2,ARPC2
ACTR2,ARPC3
ACTR2,ARPC4
ACTR2,ARPC5
ACTR3,ARPC2
ACTR3,ARPC3
ACTR3,ARPC4
ACTR3,ARPC5
ARPC2,ARPC3
ARPC2,ARPC4
ARPC2,ARPC5
CD2,CD58
ARPC4,ARPC5
ARPC3,ARPC4
MYH9,WIPF1
ARPC3,ARPC5
ICAM1,TLN1
TSC2,TSC1
MLST8,DEPTOR
MLST8,RPTOR
MTOR,DEPTOR
BCL10,CRADD
CD247,ZAP70
FLNA,MAP3K14
BCL10,CARD11
BCL10,MALT1
CARD11,MALT1
GRB2,LAT
GRB2,GRAP
GRB2,CD28
LAT,GRAP
RPTOR,DEPTOR
PLCG1,GRAP
GRB2,PLCG1
PTPN11,GAB2
PXN,TUBGCP2
PXN,TUBGCP3
VAV1,DNM2
MTOR,MLST8
PXN,TUBGCP4
PLCG1,LAT
MTOR,RPTOR
PXN,TUBGCP5
SNAP23,RAB27A
PXN,TUBGCP6
SNAP23,STXBP2
SNAP23,UNC13D
STXBP2,RAB27A
STXBP2,UNC13D
UNC13D,RAB27A
PSTPIP1,PTPN12
PTPN11,PDCD1
PTPN6,PDCD1
CRTAM,SCRIB
STAT1,STAT2
PTPN11,PTPN6
FYN,HAVCR2
HAVCR2,BAG6
MAPKAP1,PRR5
PTPN11,KLRG1
MLST8,MAPKAP1
MLST8,PRR5
MLST8,RICTOR
MTOR,MAPKAP1
MTOR,PRR5
MTOR,RICTOR
RICTOR,PRR5
RICTOR,MAPKAP1
GNAS,ADORA2A
CD48,CD2
YAP1,WWTR1
SMAD4,SMAD2
TAB2,TAB3
TGFBR2,TGFBR1
IL1R1,IL1RAP
FADD,TRADD
RIPK1,TNF
RIPK1,TRADD
TNF,FADD
TNF,TRADD
TRAF2,FADD
TRAF2,RIPK1
MIF,CD74
MAP3K7,TAB3
TRAF2,TRADD
TNF,TRAF1
TRAF2,TNF
JAK1,PLAU
PLAU,PLAUR
JAK1,PLAUR
TRAF2,TRAF1
SMAD2,SMAD7
SMAD3,SMAD7
STAT1,EP300
SMAD4,SMAD3
TAB2,MAP3K7
IRAK4,IL1R1
IRAK4,IL1RAP
RIPK1,FADD
MYD88,IL1R1
MYD88,IL1RAP
RBCK1,RNF31
RBCK1,SHARPIN
RNF31,SHARPIN
JAK1,LIF
MYD88,IRAK4
JAK1,LIFR
LIF,LIFR
IFNGR1,IFNGR2
IFNG,IFNGR1
IFNG,IFNGR2
JAK1,IFNGR2
JAK1,IFNGR1
JAK1,IFNG
JAK2,IFNGR1
JAK2,IFNGR2
JAK2,TYK2
JAK1,IL6R
IGF2R,IGF2
TYK2,IL6R
CYBA,NOX4
CXCL12,CXCR4
PTP4A3,JAM2
PTP4A3,ITGB1
PTP4A3,ARF1
JAK1,JAK2
JAK2,IL6R
JAK1,TYK2
UBE2D1,UBE2D2
JAK2,IFNG
ZEB1,LMO2
SMAD3,SNAI1
SMAD4,SNAI1
TGFB1,TGFBR1
DTX1,UBE2D2
DTX1,UBE2D1
SMAD2,SP1
NOTCH1,DLL1
LIN7C,PATJ
SMAD4,SP1
SMAD3,SP1
NOTCH1,JAG1
TGFB1,TGFBR2
JAG1,NUMB
NOTCH1,NUMB
SMAD3,SMAD2
TGFBR1,PARD6A
RAF1,YWHAB
TGFB1,PARD6A
TGFBR2,PARD6A
HRAS,YWHAB
ITGA4,ITGB7
RAF1,HRAS
ARHGAP35,RASA1
PXN,BCAR1
BCL2,BBC3
BCL2,BAX
BCL2,BAK1
AXIN1,DVL1
APC,AXIN1
TGFB1,LTBP1
SMURF1,PARD6A
PXN,DOCK1
HDAC2,SIN3A
SNAI1,HDAC1
HDAC1,SIN3A
HDAC2,EZH2
HDAC1,HDAC2
SNAI1,EZH2
SNAI1,SIN3A
SNAI1,HDAC2
HDAC1,EZH2
TWIST1,BMI1
SMAD4,HMGA2
SNAI2,MDM2
KIT,KITLG
SMAD4,ATF3
ADAM10,ADAM17
HDAC1,NCOR1
HDAC3,SNAI2
HDAC1,HDAC3
SMAD4,ZEB1
TIMP1,MMP1
CXCL8,CXCR2
TERF1,TNKS
TERF1,TINF2
POT1,TERF2
MYC,CDK2
RAP1A,POT1
RAP1A,TERF2
RAP1A,TINF2
TINF2,POT1
TINF2,TERF2
RAP1A,TERF1
HDAC1,SNAI2
TERF1,POT1
TINF2,TNKS
TERF1,TERF2
NOP10,NHP2
DKC1,NHP2
DKC1,NOP10
DKC1,GAR1
NHP2,GAR1
NOP10,GAR1
TEN1,CTC1
RFC1,RFC2
RFC1,RFC3
RFC1,RFC5
RFC2,RFC3
PTGES3,NHP2
RFC2,RFC5
RFC3,RFC5
RFC4,RFC1
PTGES3,DKC1
PTGES3,GAR1
PTGES3,NOP10
JUN,FOS
PRIM2,PRIM1
RPA2,RPA1
RPA2,RPA3
POLA1,PRIM2
RFC4,RFC2
RFC4,RFC3
RPA3,RPA1
PCNA,POLD1
PCNA,POLD3
RFC4,RFC5
